Date,Open,High,Low,Close,Adj Close,Volume
2018-07-12,1159.890015,1184.410034,1155.935059,1183.479980,1183.479980,1251900
2018-07-13,1185.000000,1195.416992,1180.000000,1188.819946,1188.819946,1221900
2018-07-16,1189.390015,1191.000000,1179.280029,1183.859985,1183.859985,1055700
2018-07-17,1172.219971,1203.040039,1170.599976,1198.800049,1198.800049,1610400
2018-07-18,1196.560059,1204.500000,1190.339966,1195.880005,1195.880005,1393600
2018-07-19,1191.000000,1200.000000,1183.319946,1186.959961,1186.959961,1276700
2018-07-20,1186.959961,1196.859985,1184.219971,1184.910034,1184.910034,1247400
2018-07-23,1181.010010,1206.489990,1181.000000,1205.500000,1205.500000,2619200
2018-07-24,1262.589966,1266.000000,1235.560059,1248.079956,1248.079956,3318200
2018-07-25,1239.130005,1265.859985,1239.130005,1263.699951,1263.699951,2127800
2018-07-26,1251.000000,1269.770996,1249.020020,1268.329956,1268.329956,2405600
2018-07-27,1271.000000,1273.890015,1231.000000,1238.500000,1238.500000,2130600
2018-07-30,1228.010010,1234.916016,1211.469971,1219.739990,1219.739990,1849900
2018-07-31,1220.010010,1227.588013,1205.599976,1217.260010,1217.260010,1644700
2018-08-01,1228.000000,1233.469971,1210.209961,1220.010010,1220.010010,1567200
2018-08-02,1205.900024,1229.880005,1204.790039,1226.150024,1226.150024,1531300
2018-08-03,1229.619995,1230.000000,1215.060059,1223.709961,1223.709961,1089600
2018-08-06,1225.000000,1226.088013,1215.796997,1224.770020,1224.770020,1081700
2018-08-07,1237.000000,1251.170044,1236.170044,1242.219971,1242.219971,1494000
2018-08-08,1240.469971,1256.500000,1238.008057,1245.609985,1245.609985,1370300
2018-08-09,1249.900024,1255.541992,1246.010010,1249.099976,1249.099976,841800
2018-08-10,1243.000000,1245.694946,1232.000000,1237.609985,1237.609985,1108700
